movie_id,title,original_title,overview,release_date,popularity,vote_average,vote_count,genres,keywords,cast,director,raw_genres_json,raw_keywords_json,raw_cast_json,raw_crew_json,poster_path
969681,Spider-Man: Brand New Day,Spider-Man: Brand New Day,Fighting crime full-time as Spider-Man in a world that doesn't remember him—and the pressure of seeing his old friends move on without him—sparks a change in Peter Parker he may not have the power to control. But that transformation might also be the only thing that can stop a shocking new threat to the city and those he loves - a powerful villain no one can even see.,2026-07-29,1453.6083,7.901,2081,"[""Science Fiction"", ""Action"", ""Adventure""]","[""mind control"", ""new york city"", ""hero"", ""mutation"", ""secret identity"", ""superhero"", ""spider"", ""villain"", ""based on comic"", ""sequel"", ""transhumanism"", ""super power"", ""masked vigilante"", ""spider web"", ""aftercreditsstinger"", ""marvel cinematic universe (mcu)"", ""masked superhero"", ""fight for justice"", ""genetic mutation""]","[""Tom Holland"", ""Zendaya"", ""Mark Ruffalo"", ""Jon Bernthal"", ""Jacob Batalon""]","[""Destin Daniel Cretton""]","[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]","[{""id"": 9678, ""name"": ""mind control""}, {""id"": 242, ""name"": ""new york city""}, {""id"": 1701, ""name"": ""hero""}, {""id"": 2766, ""name"": ""mutation""}, {""id"": 1308, ""name"": ""secret identity""}, {""id"": 9715, ""name"": ""superhero""}, {""id"": 3986, ""name"": ""spider""}, {""id"": 3289, ""name"": ""villain""}, {""id"": 9717, ""name"": ""based on comic""}, {""id"": 9663, ""name"": ""sequel""}, {""id"": 12375, ""name"": ""transhumanism""}, {""id"": 33637, ""name"": ""super power""}, {""id"": 158456, ""name"": ""masked vigilante""}, {""id"": 169909, ""name"": ""spider web""}, {""id"": 179430, ""name"": ""aftercreditsstinger""}, {""id"": 180547, ""name"": ""marvel cinematic universe (mcu)""}, {""id"": 180734, ""name"": ""masked superhero""}, {""id"": 193946, ""name"": ""fight for justice""}, {""id"": 233300, ""name"": ""genetic mutation""}]","[{""cast_id"": 4, ""character"": ""Peter Parker / Spider-Man"", ""name"": ""Tom Holland""}, {""cast_id"": 49, ""character"": ""MJ"", ""name"": ""Zendaya""}, {""cast_id"": 55, ""character"": ""Bruce Banner / Hulk"", ""name"": ""Mark Ruffalo""}, {""cast_id"": 48, ""character"": ""Frank Castle / Punisher"", ""name"": ""Jon Bernthal""}, {""cast_id"": 50, ""character"": ""Ned Leeds"", ""name"": ""Jacob Batalon""}]","[{""job"": ""Director"", ""name"": ""Destin Daniel Cretton""}]",
1368337,The Odyssey,The Odyssey,"Odysseus, the legendary King of Ithaca, embarks on a long and perilous journey home following the Trojan War. Throughout his voyage, he is forced to confront the whims of gods, mythological monsters, and trials that stretch both his cunning and his humanity to the breaking point.",2026-07-15,655.2789,7.997,3104,"[""Adventure"", ""Action"", ""Fantasy""]","[""ship"", ""trojan war"", ""greek mythology"", ""historical fiction"", ""ancient world"", ""period drama"", ""based on song, poem or rhyme"", ""greek history"", ""voyage"", ""peplum"", ""ancient"", ""trojan horse"", ""mediterranean sea"", ""bronze age"", ""mythical"", ""odyssey"", ""sword and sandal"", ""epic fantasy""]","[""Matt Damon"", ""Tom Holland"", ""Anne Hathaway"", ""Robert Pattinson"", ""Himesh Patel""]","[""Christopher Nolan""]","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]","[{""id"": 3799, ""name"": ""ship""}, {""id"": 3265, ""name"": ""trojan war""}, {""id"": 2036, ""name"": ""greek mythology""}, {""id"": 12995, ""name"": ""historical fiction""}, {""id"": 14704, ""name"": ""ancient world""}, {""id"": 15060, ""name"": ""period drama""}, {""id"": 41011, ""name"": ""based on song, poem or rhyme""}, {""id"": 174378, ""name"": ""greek history""}, {""id"": 181240, ""name"": ""voyage""}, {""id"": 187305, ""name"": ""peplum""}, {""id"": 189119, ""name"": ""ancient""}, {""id"": 189601, ""name"": ""trojan horse""}, {""id"": 208980, ""name"": ""mediterranean sea""}, {""id"": 235616, ""name"": ""bronze age""}, {""id"": 249756, ""name"": ""mythical""}, {""id"": 311653, ""name"": ""odyssey""}, {""id"": 317728, ""name"": ""sword and sandal""}, {""id"": 375250, ""name"": ""epic fantasy""}]","[{""cast_id"": 1, ""character"": ""Odysseus"", ""name"": ""Matt Damon""}, {""cast_id"": 2, ""character"": ""Telemachus"", ""name"": ""Tom Holland""}, {""cast_id"": 8, ""character"": ""Penelope"", ""name"": ""Anne Hathaway""}, {""cast_id"": 15, ""character"": ""Antinous"", ""name"": ""Robert Pattinson""}, {""cast_id"": 109, ""character"": ""Eurylochus"", ""name"": ""Himesh Patel""}]","[{""job"": ""Director"", ""name"": ""Christopher Nolan""}]",
1288445,Mutiny,Mutiny,"After witnessing his billionaire boss' murder and being framed for the crime, Cole Reed boards a cargo ship on a one-man crusade to avenge his boss' death only to discover an international conspiracy.",2026-08-19,444.6252,6.7,114,"[""Action"", ""Thriller""]","[""revenge"", ""conspiracy"", ""one man army"", ""cargo ship"", ""framed for murder""]","[""Jason Statham"", ""Annabelle Wallis"", ""Roland M\u00f8ller"", ""Ramon Tikaram"", ""Arnas Fedaravi\u010dius""]","[""Jean-Fran\u00e7ois Richet""]","[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]","[{""id"": 9748, ""name"": ""revenge""}, {""id"": 10410, ""name"": ""conspiracy""}, {""id"": 13116, ""name"": ""one man army""}, {""id"": 158022, ""name"": ""cargo ship""}, {""id"": 180172, ""name"": ""framed for murder""}]","[{""cast_id"": 1, ""character"": ""Cole Reed"", ""name"": ""Jason Statham""}, {""cast_id"": 7, ""character"": ""Angie Ellis"", ""name"": ""Annabelle Wallis""}, {""cast_id"": 8, ""character"": ""Captain Marko Madsen"", ""name"": ""Roland M\u00f8ller""}, {""cast_id"": 43, ""character"": ""Tibu Campallo"", ""name"": ""Ramon Tikaram""}, {""cast_id"": 9, ""character"": ""Mateo Pineda"", ""name"": ""Arnas Fedaravi\u010dius""}]","[{""job"": ""Director"", ""name"": ""Jean-Fran\u00e7ois Richet""}]",
1084244,Toy Story 5,Toy Story 5,"When Bonnie receives a Lilypad tablet as a gift and becomes obsessed, Buzz, Woody, Jessie and the rest of the gang's jobs become exponentially harder when they have to go head to head with the all-new threat to playtime.",2026-06-17,373.5784,8.134,1464,"[""Animation"", ""Family"", ""Comedy"", ""Adventure""]","[""farm"", ""island"", ""pig"", ""horse"", ""rescue mission"", ""rivalry"", ""sequel"", ""love"", ""stranded"", ""wedding"", ""tire swing"", ""walkie talkie"", ""cowgirl"", ""cowboy"", ""buddy comedy"", ""duringcreditsstinger"", ""toy comes to life"", ""hippo"", ""abandonment"", ""toilet paper"", ""replacement"", ""playful"", ""toy"", ""frog"", ""3d animation"", ""tablet""]","[""Joan Cusack"", ""Tom Hanks"", ""Tim Allen"", ""Conan O'Brien"", ""Scarlett Spears""]","[""Andrew Stanton""]","[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 12, ""name"": ""Adventure""}]","[{""id"": 4932, ""name"": ""farm""}, {""id"": 2041, ""name"": ""island""}, {""id"": 4931, ""name"": ""pig""}, {""id"": 2673, ""name"": ""horse""}, {""id"": 11107, ""name"": ""rescue mission""}, {""id"": 9823, ""name"": ""rivalry""}, {""id"": 9663, ""name"": ""sequel""}, {""id"": 9673, ""name"": ""love""}, {""id"": 9743, ""name"": ""stranded""}, {""id"": 13027, ""name"": ""wedding""}, {""id"": 18251, ""name"": ""tire swing""}, {""id"": 33553, ""name"": ""walkie talkie""}, {""id"": 33602, ""name"": ""cowgirl""}, {""id"": 155291, ""name"": ""cowboy""}, {""id"": 167541, ""name"": ""buddy comedy""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}, {""id"": 187065, ""name"": ""toy comes to life""}, {""id"": 188316, ""name"": ""hippo""}, {""id"": 216734, ""name"": ""abandonment""}, {""id"": 233270, ""name"": ""toilet paper""}, {""id"": 235220, ""name"": ""replacement""}, {""id"": 259376, ""name"": ""playful""}, {""id"": 265589, ""name"": ""toy""}, {""id"": 278301, ""name"": ""frog""}, {""id"": 278823, ""name"": ""3d animation""}, {""id"": 312222, ""name"": ""tablet""}]","[{""cast_id"": 24, ""character"": ""Jessie (voice)"", ""name"": ""Joan Cusack""}, {""cast_id"": 2, ""character"": ""Woody (voice)"", ""name"": ""Tom Hanks""}, {""cast_id"": 1, ""character"": ""Buzz Lightyear (voice)"", ""name"": ""Tim Allen""}, {""cast_id"": 30, ""character"": ""Smarty Pants (voice)"", ""name"": ""Conan O'Brien""}, {""cast_id"": 68, ""character"": ""Bonnie (voice)"", ""name"": ""Scarlett Spears""}]","[{""job"": ""Director"", ""name"": ""Andrew Stanton""}]",/sfQtVlIHljToOwYjhe21KPGzZWK.jpg
1323244,Rage of Stars,Rage of Stars,"A story about a woman from the International Special Forces Unit, who has a premonition about the impending end of humanity.",2026-08-06,368.9232,4.72,25,"[""Action"", ""Science Fiction"", ""Thriller""]","[""military unit"", ""prophetic visions"", ""dark visions""]","[""Andrea Tivadar"", ""Jord Knotter"", ""Jack McEvoy"", ""Elijah Rowen"", ""Ma\u0142gorzata Klara""]","[""\u0141ukasz R\u00f3g""]","[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]","[{""id"": 191316, ""name"": ""military unit""}, {""id"": 366152, ""name"": ""prophetic visions""}, {""id"": 373552, ""name"": ""dark visions""}]","[{""cast_id"": 6, ""character"": ""Jemma"", ""name"": ""Andrea Tivadar""}, {""cast_id"": 7, ""character"": ""Luk"", ""name"": ""Jord Knotter""}, {""cast_id"": 8, ""character"": ""Kriss"", ""name"": ""Jack McEvoy""}, {""cast_id"": 9, ""character"": ""Tom"", ""name"": ""Elijah Rowen""}, {""cast_id"": 10, ""character"": ""Commander"", ""name"": ""Ma\u0142gorzata Klara""}]","[{""job"": ""Director"", ""name"": ""\u0141ukasz R\u00f3g""}]",/oLld47ZT1I3iecM3OWhIphohQUJ.jpg
634649,Spider-Man: No Way Home,Spider-Man: No Way Home,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",2021-12-15,263.0951,7.9,22810,"[""Action"", ""Adventure"", ""Science Fiction""]","[""new york city"", ""hero"", ""showdown"", ""magic"", ""loss of loved one"", ""secret identity"", ""superhero"", ""villain"", ""portal"", ""based on comic"", ""sequel"", ""vigilante"", ""superhero team"", ""masked vigilante"", ""alternative reality"", ""aftercreditsstinger"", ""duringcreditsstinger"", ""marvel cinematic universe (mcu)"", ""masked superhero"", ""fight for justice"", ""teen superhero"", ""superhero teamup"", ""returning hero"", ""teamwork"", ""multiverse""]","[""Tom Holland"", ""Zendaya"", ""Benedict Cumberbatch"", ""Jacob Batalon"", ""Jon Favreau""]","[""Jon Watts""]","[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]","[{""id"": 242, ""name"": ""new york city""}, {""id"": 1701, ""name"": ""hero""}, {""id"": 797, ""name"": ""showdown""}, {""id"": 2343, ""name"": ""magic""}, {""id"": 697, ""name"": ""loss of loved one""}, {""id"": 1308, ""name"": ""secret identity""}, {""id"": 9715, ""name"": ""superhero""}, {""id"": 3289, ""name"": ""villain""}, {""id"": 7939, ""name"": ""portal""}, {""id"": 9717, ""name"": ""based on comic""}, {""id"": 9663, ""name"": ""sequel""}, {""id"": 7002, ""name"": ""vigilante""}, {""id"": 155030, ""name"": ""superhero team""}, {""id"": 158456, ""name"": ""masked vigilante""}, {""id"": 175629, ""name"": ""alternative reality""}, {""id"": 179430, ""name"": ""aftercreditsstinger""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}, {""id"": 180547, ""name"": ""marvel cinematic universe (mcu)""}, {""id"": 180734, ""name"": ""masked superhero""}, {""id"": 193946, ""name"": ""fight for justice""}, {""id"": 213104, ""name"": ""teen superhero""}, {""id"": 265979, ""name"": ""superhero teamup""}, {""id"": 283844, ""name"": ""returning hero""}, {""id"": 285485, ""name"": ""teamwork""}, {""id"": 336874, ""name"": ""multiverse""}]","[{""cast_id"": 1, ""character"": ""Peter Parker / Spider-Man"", ""name"": ""Tom Holland""}, {""cast_id"": 54, ""character"": ""MJ"", ""name"": ""Zendaya""}, {""cast_id"": 33, ""character"": ""Doctor Strange"", ""name"": ""Benedict Cumberbatch""}, {""cast_id"": 69, ""character"": ""Ned Leeds"", ""name"": ""Jacob Batalon""}, {""cast_id"": 82, ""character"": ""Happy Hogan"", ""name"": ""Jon Favreau""}]","[{""job"": ""Director"", ""name"": ""Jon Watts""}]",/1g0dhYtq4irTY1GPXvft6k4YLjm.jpg
1375646,Colony,군체,"Professor Se-jeong is thrust into a bloody nightmare when a rapidly mutating virus is released during a biotech conference causing authorities to seal the facility. Trapped inside with no escape, Se-jeong along with a small group of survivors must fight to stay alive while the infected undergo horrific transformations.",2026-05-21,254.1711,8.1,582,"[""Action"", ""Horror"", ""Science Fiction""]","[""zombie""]","[""Gianna Jun"", ""Koo Kyo-hwan"", ""Ji Chang-wook"", ""Kim Shin-rock"", ""Shin Hyun-been""]","[""Yeon Sang-ho""]","[{""id"": 28, ""name"": ""Action""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 878, ""name"": ""Science Fiction""}]","[{""id"": 12377, ""name"": ""zombie""}]","[{""cast_id"": 2, ""character"": ""Kwon Se-jeong"", ""name"": ""Gianna Jun""}, {""cast_id"": 3, ""character"": ""Seo Young-cheol"", ""name"": ""Koo Kyo-hwan""}, {""cast_id"": 6, ""character"": ""Choi Hyun-seok"", ""name"": ""Ji Chang-wook""}, {""cast_id"": 4, ""character"": ""Choi Hyun-hee"", ""name"": ""Kim Shin-rock""}, {""cast_id"": 5, ""character"": ""Kong Seol-hee"", ""name"": ""Shin Hyun-been""}]","[{""job"": ""Director"", ""name"": ""Yeon Sang-ho""}]",/tN799oUR0f1gUKDYdMNrDaY7I51.jpg
1339713,Obsession,Obsession,"After breaking the mysterious ""One Wish Willow"" to win his crush's heart, a hopeless romantic finds himself getting exactly what he asked for but soon discovers that some desires come at a dark, sinister price.",2026-05-13,253.0483,8.224,4972,"[""Horror"", ""Thriller""]","[""obsession"", ""supernatural"", ""possession"", ""wish"", ""unrequited love"", ""couple"", ""absurdism"", ""self-harm"", ""supernatural horror"", ""psychological"", ""independent film"", ""psychological horror"", ""cursed object""]","[""Michael Johnston"", ""Inde Navarrette"", ""Cooper Tomlinson"", ""Megan Lawless"", ""Andy Richter""]","[""Curry Barker""]","[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]","[{""id"": 1523, ""name"": ""obsession""}, {""id"": 6152, ""name"": ""supernatural""}, {""id"": 9712, ""name"": ""possession""}, {""id"": 4896, ""name"": ""wish""}, {""id"": 10048, ""name"": ""unrequited love""}, {""id"": 33494, ""name"": ""couple""}, {""id"": 214655, ""name"": ""absurdism""}, {""id"": 233130, ""name"": ""self-harm""}, {""id"": 256183, ""name"": ""supernatural horror""}, {""id"": 272553, ""name"": ""psychological""}, {""id"": 281237, ""name"": ""independent film""}, {""id"": 295907, ""name"": ""psychological horror""}, {""id"": 304115, ""name"": ""cursed object""}]","[{""cast_id"": 58, ""character"": ""Bear"", ""name"": ""Michael Johnston""}, {""cast_id"": 5, ""character"": ""Nikki"", ""name"": ""Inde Navarrette""}, {""cast_id"": 6, ""character"": ""Ian"", ""name"": ""Cooper Tomlinson""}, {""cast_id"": 7, ""character"": ""Sarah"", ""name"": ""Megan Lawless""}, {""cast_id"": 50, ""character"": ""Carter"", ""name"": ""Andy Richter""}]","[{""job"": ""Director"", ""name"": ""Curry Barker""}]",
1315772,Minions & Monsters,Minions & Monsters,"This is the rambunctious, ridiculous and totally true story of how the Minions conquered Hollywood, became movie stars, lost everything, unleashed monsters onto the world and then banded together to try and save the planet from the mayhem they had just created.",2026-06-24,230.1696,7.499,806,"[""Adventure"", ""Animation"", ""Comedy"", ""Family"", ""Fantasy""]","[""magic"", ""sequel"", ""alien"", ""prequel"", ""hollywood"", ""spin off"", ""henchman"", ""filmmaking"", ""silent film"", ""framing device"", ""duringcreditsstinger"", ""women's suffrage"", ""1920s"", ""humanoid robot"", ""3d animation"", ""monsters"", ""hilarious"", ""vibrant"", ""early sound film""]","[""Pierre Coffin"", ""Trey Parker"", ""Christoph Waltz"", ""Allison Janney"", ""Jesse Eisenberg""]","[""Pierre Coffin""]","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]","[{""id"": 2343, ""name"": ""magic""}, {""id"": 9663, ""name"": ""sequel""}, {""id"": 9951, ""name"": ""alien""}, {""id"": 9675, ""name"": ""prequel""}, {""id"": 12396, ""name"": ""hollywood""}, {""id"": 15285, ""name"": ""spin off""}, {""id"": 18354, ""name"": ""henchman""}, {""id"": 33490, ""name"": ""filmmaking""}, {""id"": 154802, ""name"": ""silent film""}, {""id"": 168319, ""name"": ""framing device""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}, {""id"": 190969, ""name"": ""women's suffrage""}, {""id"": 207876, ""name"": ""1920s""}, {""id"": 220903, ""name"": ""humanoid robot""}, {""id"": 278823, ""name"": ""3d animation""}, {""id"": 289108, ""name"": ""monsters""}, {""id"": 320420, ""name"": ""hilarious""}, {""id"": 325856, ""name"": ""vibrant""}, {""id"": 364802, ""name"": ""early sound film""}]","[{""cast_id"": 2, ""character"": ""James / Henry / Ed / Dick / The Minions (voice)"", ""name"": ""Pierre Coffin""}, {""cast_id"": 22, ""character"": ""Goomi (voice)"", ""name"": ""Trey Parker""}, {""cast_id"": 19, ""character"": ""Max (voice)"", ""name"": ""Christoph Waltz""}, {""cast_id"": 18, ""character"": ""Olivia (voice)"", ""name"": ""Allison Janney""}, {""cast_id"": 21, ""character"": ""Dort (voice)"", ""name"": ""Jesse Eisenberg""}]","[{""job"": ""Director"", ""name"": ""Pierre Coffin""}]",/4LwvU9SZc8QQzW1X1FAPhNbXnEU.jpg
1108427,Moana,Moana,"Teenage Moana answers the Ocean's call and, for the first time, voyages beyond the reef of her island of Motunui with infamous demigod Maui on an unforgettable journey to restore prosperity to her people.",2026-07-08,225.3442,6.109,220,"[""Family"", ""Fantasy"", ""Comedy"", ""Adventure""]","[""sailboat"", ""sea"", ""friendship"", ""ocean"", ""leaving one's family"", ""musical"", ""remake"", ""curse"", ""explorer"", ""based on movie"", ""demigod"", ""polynesia"", ""sea adventure"", ""giant crab"", ""animal sidekick"", ""seafarer"", ""live action remake"", ""female explorer""]","[""Catherine Laga\u02bbaia"", ""Dwayne Johnson"", ""Rena Owen"", ""John Tui"", ""Frankie Adams""]","[""Thomas Kail""]","[{""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 12, ""name"": ""Adventure""}]","[{""id"": 544, ""name"": ""sailboat""}, {""id"": 658, ""name"": ""sea""}, {""id"": 6054, ""name"": ""friendship""}, {""id"": 270, ""name"": ""ocean""}, {""id"": 2982, ""name"": ""leaving one's family""}, {""id"": 4344, ""name"": ""musical""}, {""id"": 9714, ""name"": ""remake""}, {""id"": 10541, ""name"": ""curse""}, {""id"": 157155, ""name"": ""explorer""}, {""id"": 165317, ""name"": ""based on movie""}, {""id"": 180548, ""name"": ""demigod""}, {""id"": 180803, ""name"": ""polynesia""}, {""id"": 208649, ""name"": ""sea adventure""}, {""id"": 223089, ""name"": ""giant crab""}, {""id"": 234183, ""name"": ""animal sidekick""}, {""id"": 236465, ""name"": ""seafarer""}, {""id"": 245230, ""name"": ""live action remake""}, {""id"": 347753, ""name"": ""female explorer""}]","[{""cast_id"": 19, ""character"": ""Moana"", ""name"": ""Catherine Laga\u02bbaia""}, {""cast_id"": 2, ""character"": ""Maui"", ""name"": ""Dwayne Johnson""}, {""cast_id"": 21, ""character"": ""Gramma Tala"", ""name"": ""Rena Owen""}, {""cast_id"": 20, ""character"": ""Chief Tui"", ""name"": ""John Tui""}, {""cast_id"": 22, ""character"": ""Sina"", ""name"": ""Frankie Adams""}]","[{""job"": ""Director"", ""name"": ""Thomas Kail""}]",/zKVgiv5qHCvCLT4A2ymJi5QeXDH.jpg
